simulation_id,attack_id,cost
1342,1,97647080.32911089
1343,1,104569136.43601973
1343,2,98902615.23157443
1345,1,105372319.11861153
1345,2,95174318.55083163
1348,1,91682843.23385584
1351,1,100293292.5661764
1356,1,99588604.55073598
1356,2,98686840.89507458
1359,1,101077233.73556595
1360,1,107694413.30248107
1363,1,94026640.74816285
1363,2,99372333.36227383
1364,1,91815555.84175608
1365,1,89911286.80581096
1365,2,96133296.53255452
1366,1,111487708.40166603
1366,2,100449880.570739
1367,1,83062391.49172652
1367,2,94032067.16221184
1372,1,104073863.17992163
1375,1,111703256.15957884
1377,1,116409194.1999831
1377,2,109092451.55048604
1378,1,109266439.35303704
1378,2,107186218.15526348
1379,1,100439582.09792116
1381,1,109081140.21119732
1383,1,114590662.75666851
1386,1,94804579.39580934
1387,1,104074052.73430426
1391,1,109244379.06214836
1392,1,83411827.84841718
1393,1,114406319.47537504
1394,1,102737478.93169488
1395,1,98848793.59988245
1396,1,94696455.71163444
1397,1,90121750.45432736
1397,2,90926677.2895758
1400,1,111532857.99873662
1402,1,92532762.75638004
1402,2,101914010.27291894
1402,3,97535467.68098177
1403,1,119534477.08587116
1405,1,107274712.21251868
1406,1,118873567.20643437
1409,1,93856855.12899345
1410,1,103475626.19705778
1414,1,101645551.75004858
1416,1,103365391.20944677
1418,1,95141311.13463987
1419,1,111663906.8754443
1420,1,106478998.13727492
1422,1,97333447.36761618
1422,2,84735485.83165996
1424,1,84210806.3955924
1425,1,107444543.48160996
1425,2,102234450.72985223
1425,3,99729464.68836334
1426,1,86982937.94071347
1426,2,103252473.36646822
1431,1,90060635.98267518
1432,1,100093513.53112337
1443,1,110315880.41161399
1444,1,109268781.39066017
1445,1,87549908.8393135
1445,2,102265708.68158036
1447,1,108436932.45395952
1447,2,109196659.02828467
1448,1,112349904.29805893
1448,2,95008759.19486018
1449,1,82173172.19046353
1451,1,110444921.38942489
1453,1,117353675.53510658
1453,2,107604903.33427499
1454,1,108951161.55403936
1454,2,102941651.75127421
1455,1,86437881.42076945
1456,1,118111981.1941297
1456,2,86189549.63166629
1457,1,105934052.95151128
1457,2,94884231.70114268
1458,1,115890093.56139357
1464,1,92763012.73156098
1464,2,104797568.16147473
1470,1,93101426.18910752
1472,1,109279716.80401766
1474,1,96268236.89648946
1475,1,97103149.1544342
1483,1,99213170.57673258
1485,1,101170976.58730727
1486,1,113273648.28750141
1487,1,89803575.1280142
1488,1,97632168.94334067
1489,1,89626779.23378618
1490,1,92515626.80719016
1493,1,106191613.92883146
1495,1,119069120.50944772
1498,1,92058801.70059428
1501,1,114166825.17587718
1501,2,105793998.42801769
1501,3,94992310.7911225
1506,1,88895548.68002741
1509,1,85207101.10457939
1509,2,92404531.60775617
1511,1,94965522.05681276
1511,2,97876651.91408798
1511,3,119644347.61483967
1511,4,98371175.45829707
1512,1,85378213.46640709
1513,1,101271285.9169135
1513,2,90524400.67620918
1514,1,108423253.14489943
1515,1,91784665.51905017
1515,2,94110834.93768084
1517,1,100947156.48347388
1519,1,96830373.8959161
1519,2,104561933.97553542
1520,1,108816114.16625753
1523,1,105578063.4421835
1526,1,100602798.93206741
1526,2,98809471.07457872
1528,1,106803119.32462655
1528,2,97189643.37712961
1529,1,100197596.87508233
1530,1,87752333.61545123
1531,1,106325732.36900836
1531,2,99732845.75973491
1532,1,90438248.32629368
1533,1,108076213.72713473
1533,2,104344402.7910711
1534,1,94894013.89846484
1534,2,95486072.4437474
1536,1,102858829.44102246
1536,2,109126812.37744512
1540,1,94916310.18677165
1541,1,103660842.063802
1541,2,97638906.94514078
1541,3,89475781.83110106
1545,1,93230024.99461538
1546,1,88435663.32168254
1549,1,108497909.4937522
1550,1,99020317.82007706
1556,1,101774652.36875509
1558,1,94912064.76696274
1561,1,108903932.01254725
1562,1,96599939.40149814
